Year,Audience,Attendees,Program Location
2017,Fairs & Fesitvals,2377,Region 1
2017,Fairs & Fesitvals,3955,Region 2
2017,Fairs & Fesitvals,171000,Regions 6/7/8
2017,Fairs & Fesitvals,83518,Reinstein
2017,General Public Programs,1469,Five Rivers
2017,General Public Programs,173,Region 1
2017,General Public Programs,671,Region 2
2017,General Public Programs,1174,Reinstein
2017,Groups Using Facility - no program,1662,Five Rivers
2017,Groups Using Facility - no program,413,Reinstein
2017,Public Contacts & Questions,6170,Five Rivers
2017,Public Contacts & Questions,420,Region 1
2017,Public Contacts & Questions,300,Region 2
2017,Public Contacts & Questions,84131,Reinstein
2017,School Guided,2051,Five Rivers
2017,School Guided,11277,Region 1
2017,School Guided,1992,Region 2
2017,School Guided,2001,Regions 6/7/8
2017,School Guided,7543,Reinstein
2017,Self-guided School & Youth,1302,Five Rivers
2017,Self-guided School & Youth,0,Reinstein
2017,Teacher Workshops,1502,Central Office
2017,Teacher Workshops,192,Five Rivers
2017,Teacher Workshops,89,Region 1
2017,Teacher Workshops,522,Region 2
2017,Teacher Workshops,311,Regions 6/7/8
2017,Teacher Workshops,132,Reinstein
2017,Youth Guided,1431,Five Rivers
2017,Youth Guided,807,Region 1
2017,Youth Guided,470,Region 2
2017,Youth Guided,151,Regions 6/7/8
2017,Youth Guided,1409,Reinstein
2016,Adult Groups,588,Five Rivers
2016,Adult Groups,105,Region 1
2016,Adult Groups,50,Region 2
2016,Adult Groups,11,Regions 6/7/8
2016,Adult Groups,1995,Reinstein
2016,After School Conservation Club,3299,Region 2
2016,After School Conservation Club,528,Reinstein
2016,Camps,1366,Camps
2016,Day in the Life,100,Five Rivers
2016,Day in the Life,335,Region 1
2016,Day in the Life,176,Region 2
2016,Day in the Life,326,Reinstein
2016,Drop-in Visitation,45377,Five Rivers
2016,Drop-in Visitation,85349,Reinstein
2016,Educator Support,25,Central Office
2016,Educator Support,666,Five Rivers
2016,Educator Support,85,Region 1
2016,Educator Support,299,Region 2
2016,Educator Support,194,Reinstein
2016,Envirothon,200,Region 1
2016,Envirothon,80,Region 2
2016,Fairs & Fesitvals,1500,Central Office
2016,Fairs & Fesitvals,1666,Five Rivers
2016,Fairs & Fesitvals,13127,Region 1
2016,Fairs & Fesitvals,3407,Region 2
2016,Fairs & Fesitvals,206200,Regions 6/7/8
2016,Fairs & Fesitvals,68234,Reinstein
2016,General Public Programs,3440,Five Rivers
2016,General Public Programs,151,Region 1
2016,General Public Programs,855,Reinstein
2016,Groups Using Facility - no program,1014,Five Rivers
2016,Groups Using Facility - no program,647,Reinstein
2016,Public Contacts & Questions,6850,Five Rivers
2016,Public Contacts & Questions,420,Region 1
2016,Public Contacts & Questions,1080,Region 2
2016,Public Contacts & Questions,10000,Regions 6/7/8
2016,Public Contacts & Questions,7433,Reinstein
2016,School Guided,6396,Five Rivers
2016,School Guided,15537,Region 1
2016,School Guided,3124,Region 2
2016,School Guided,1033,Regions 6/7/8
2016,School Guided,7239,Reinstein
2016,Self-guided School & Youth,1239,Five Rivers
2016,Self-guided School & Youth,204,Reinstein
2016,Teacher Workshops,1149,Central Office
2016,Teacher Workshops,150,Five Rivers
2016,Teacher Workshops,195,Region 1
2016,Teacher Workshops,655,Region 2
2016,Teacher Workshops,586,Regions 6/7/8
2016,Teacher Workshops,142,Reinstein
2016,Youth Guided,790,Five Rivers
2016,Youth Guided,326,Region 1
2016,Youth Guided,434,Region 2
2016,Youth Guided,155,Regions 6/7/8
2016,Youth Guided,3435,Reinstein
2015,Adult Groups,814,Five Rivers
2015,Adult Groups,32,Region 2
2015,Adult Groups,107,Regions 6/7/8
2015,Adult Groups,990,Reinstein
2015,After School Conservation Club,2562,Region 2
2015,After School Conservation Club,698,Reinstein
2015,Camps,1473,Camps
2015,Day in the Life,20,Five Rivers
2015,Day in the Life,343,Region 1
2015,Day in the Life,258,Region 2
2015,Day in the Life,330,Reinstein
2015,Drop-in Visitation,51067,Five Rivers
2015,Drop-in Visitation,64866,Reinstein
2015,Educator Support,60,Central Office
2015,Educator Support,697,Five Rivers
2015,Educator Support,101,Region 1
2015,Educator Support,274,Region 2
2015,Educator Support,122,Reinstein
2015,Envirothon,170,Region 1
2015,Envirothon,80,Region 2
2015,Envirothon,300,Regions 6/7/8
2015,Fairs & Fesitvals,2771,Five Rivers
2015,Fairs & Fesitvals,23415,Region 1
2015,Fairs & Fesitvals,2925,Region 2
2015,Fairs & Fesitvals,170000,Regions 6/7/8
2015,Fairs & Fesitvals,85257,Reinstein
2015,General Public Programs,2385,Five Rivers
2015,General Public Programs,275,Region 1
2015,General Public Programs,122,Region 2
2015,General Public Programs,847,Reinstein
2015,Groups Using Facility - no program,1598,Five Rivers
2015,Groups Using Facility - no program,438,Reinstein
2015,Public Contacts & Questions,7350,Five Rivers
2015,Public Contacts & Questions,420,Region 1
2015,Public Contacts & Questions,666,Region 2
2015,Public Contacts & Questions,66385,Reinstein
2015,School Guided,6599,Five Rivers
2015,School Guided,14889,Region 1
2015,School Guided,1599,Region 2
2015,School Guided,1978,Regions 6/7/8
2015,School Guided,7584,Reinstein
2015,Self-guided School & Youth,1159,Five Rivers
2015,Self-guided School & Youth,572,Reinstein
